AnimalName,BloodBrainDisease,AppearenceDisease,GeneralDisease,LungDisease,AbdominalDisease,HealthStatus
Other Birds,seizures,hairloss,skin rashes,halitosis,upset stomach,Critical
snake,seizures,emaciation,loss of appetite,dyspnea,diarrhea,Critical
horse,jaundice,swelling,sweating,respiratory distress,abdominal pain,Critical
horse,jaundice,emaciation,headache,halitosis,uteria inertia,Critical
horse,anemia,weightloss,stumbling,difficulty in breathing,ulcers,Critical
horse,convulsions,emaciation,fever,difficulty in breathing,diarrhea,Critical
horse,convulsions,hairloss,coughing,nasal discharge,uteria inertia,Critical
duck,jaundice,weightloss,sneezing,nasal discharge,abdominal pain,Critical
donkey,wasting,scabs,dejection,dyspnea,uteria inertia,Critical
donkey,seizures,emaciation,pains,difficulty in breathing,uteria inertia,Critical
Donkey,wasting,weightloss,muscle aches,difficulty in breathing,ulcers,Critical
mules,anemia,scabs,sweating,halitosis,abdominal pain,Critical
Elephant,convulsions,swelling,muscle aches,dyspnea,fetopelvic disproportion,Critical
Elephant,anemia,emaciation,dejection,dyspnea,abdominal pain,Critical
Elephant,anemia,ruffled feathers,loss of appetite,nasal discharge,ulcers,Critical
Elephant,convulsions,scabs,sneezing,halitosis,abdominal pain,Critical
Deer,anemia,hairloss,sneezing,difficulty in breathing,upset stomach,Critical
Elk,jaundice,scabs,headache,nasal discharge,diarrhea,Critical
Wapiti,anemia,emaciation,stumbling,difficulty in breathing,diarrhea,Critical
Deer,anemia,swelling,sweating,pneumonia,uteria inertia,Critical
Mule deer,anemia,emaciation,vomiting,respiratory distress,upset stomach,Critical
Black-tailed deer,anemia,scabs,headache,respiratory distress,diarrhea,Critical
Sika deer,seizures,swelling,vomiting,nasal discharge,uteria inertia,Critical
White-tailed deer,jaundice,hairloss,skin rashes,dyspnea,fetopelvic disproportion,Critical
Reindeer,seizures,hairloss,skin rashes,respiratory distress,upset stomach,Critical
Moos,wasting,ruffled feathers,pains,dyspnea,ulcers,Critical
Tiger,wasting,weightloss,muscle aches,respiratory distress,ulcers,Critical
Deer,seizures,hairloss,muscle aches,respiratory distress,abdominal pain,Critical
Cattle,convulsions,emaciation,muscle aches,halitosis,diarrhea,Critical
Goats,anemia,hairloss,skin rashes,pneumonia,fetopelvic disproportion,Critical
Sheep,anemia,swelling,skin rashes,pneumonia,upset stomach,Critical
Buffaloes,wasting,scabs,sweating,pneumonia,diarrhea,Critical
Sheep,jaundice,weightloss,sweating,respiratory distress,ulcers,Critical
Goats,wasting,scabs,fever,dyspnea,fetopelvic disproportion,Critical
Cattle,jaundice,scabs,skin rashes,nasal discharge,upset stomach,Critical
Cattle,seizures,emaciation,loss of appetite,pneumonia,fetopelvic disproportion,Critical
Sheep,convulsions,emaciation,weakness,pneumonia,fetopelvic disproportion,Critical
Dogs,anemia,weightloss,skin rashes,nasal discharge,fetopelvic disproportion,Critical
Fox,convulsions,weightloss,coughing,pneumonia,fetopelvic disproportion,Critical
Wolves,wasting,hairloss,headache,difficulty in breathing,abdominal pain,Critical
Hyaenas,anemia,hairloss,sweating,pneumonia,uteria inertia,Critical
Duck,seizures,weightloss,pains,halitosis,ulcers,Critical
Duck,anemia,hairloss,muscle aches,halitosis,fetopelvic disproportion,Critical
Duck,wasting,ruffled feathers,skin rashes,dyspnea,ulcers,Critical
Duck,convulsions,scabs,sweating,difficulty in breathing,abdominal pain,Critical
Duck,convulsions,ruffled feathers,dejection,pneumonia,upset stomach,Critical
Duck,seizures,hairloss,skin rashes,difficulty in breathing,fetopelvic disproportion,Critical
Duck,seizures,scabs,sneezing,dyspnea,ulcers,Critical
Duck,seizures,swelling,sneezing,nasal discharge,upset stomach,Critical
Duck,seizures,ruffled feathers,sneezing,pneumonia,diarrhea,Critical
Duck,jaundice,hairloss,sneezing,respiratory distress,upset stomach,Critical
Duck,anemia,weightloss,loss of appetite,respiratory distress,diarrhea,Critical
Duck,seizures,hairloss,vomiting,difficulty in breathing,ulcers,Critical
Duck,anemia,weightloss,stumbling,nasal discharge,upset stomach,Critical
Duck,anemia,weightloss,sneezing,dyspnea,ulcers,Critical
Duck,convulsions,scabs,sneezing,dyspnea,abdominal pain,Critical
Duck,wasting,weightloss,sneezing,pneumonia,uteria inertia,Critical
Duck,anemia,weightloss,fever,difficulty in breathing,diarrhea,Critical
Duck,jaundice,emaciation,dejection,nasal discharge,fetopelvic disproportion,Critical
Duck,anemia,swelling,stumbling,respiratory distress,abdominal pain,Critical
Duck,convulsions,swelling,coughing,pneumonia,ulcers,Critical
Duck,anemia,ruffled feathers,stumbling,nasal discharge,upset stomach,Critical
Duck,seizures,swelling,muscle aches,nasal discharge,upset stomach,Critical
Duck,seizures,swelling,coughing,halitosis,abdominal pain,Critical
Duck,anemia,hairloss,stumbling,halitosis,abdominal pain,Critical
Duck,anemia,scabs,loss of appetite,respiratory distress,upset stomach,Critical
Duck,wasting,ruffled feathers,stumbling,nasal discharge,abdominal pain,Critical
Duck,jaundice,ruffled feathers,pains,difficulty in breathing,upset stomach,Critical
Duck,jaundice,scabs,weakness,nasal discharge,uteria inertia,Critical
Duck,seizures,weightloss,skin rashes,respiratory distress,abdominal pain,Critical
Duck,anemia,scabs,stumbling,halitosis,diarrhea,Critical
Duck,jaundice,emaciation,coughing,respiratory distress,upset stomach,Critical
Duck,wasting,scabs,coughing,difficulty in breathing,ulcers,Critical
Duck,convulsions,weightloss,pains,nasal discharge,ulcers,Critical
Duck,jaundice,emaciation,sweating,difficulty in breathing,fetopelvic disproportion,Critical
Duck,seizures,ruffled feathers,skin rashes,pneumonia,diarrhea,Critical
Duck,seizures,ruffled feathers,dejection,respiratory distress,upset stomach,Critical
Duck,convulsions,emaciation,sweating,pneumonia,fetopelvic disproportion,Critical
Duck,jaundice,ruffled feathers,pains,dyspnea,uteria inertia,Critical
Duck,seizures,ruffled feathers,muscle aches,nasal discharge,abdominal pain,Critical
Duck,convulsions,weightloss,skin rashes,difficulty in breathing,ulcers,Critical
Duck,wasting,swelling,sweating,nasal discharge,fetopelvic disproportion,Critical
Duck,anemia,swelling,dejection,difficulty in breathing,uteria inertia,Critical
Duck,anemia,scabs,vomiting,halitosis,abdominal pain,Critical
Duck,convulsions,ruffled feathers,weakness,dyspnea,upset stomach,Critical
Duck,wasting,swelling,loss of appetite,respiratory distress,upset stomach,Critical
Duck,jaundice,hairloss,weakness,pneumonia,ulcers,Critical
Duck,anemia,weightloss,sweating,nasal discharge,diarrhea,Critical
Duck,wasting,swelling,dejection,halitosis,upset stomach,Critical
Duck,anemia,emaciation,loss of appetite,pneumonia,abdominal pain,Critical
Duck,convulsions,emaciation,weakness,respiratory distress,diarrhea,Critical
Elephant,convulsions,hairloss,stumbling,halitosis,ulcers,Critical
Elephant,seizures,scabs,dejection,nasal discharge,abdominal pain,Critical
Elephant,wasting,swelling,coughing,pneumonia,upset stomach,Critical
Elephant,wasting,ruffled feathers,headache,nasal discharge,diarrhea,Critical
Elephant,wasting,scabs,sneezing,halitosis,diarrhea,Critical
Elephant,seizures,emaciation,dejection,nasal discharge,uteria inertia,Critical
Elephant,anemia,scabs,sneezing,halitosis,fetopelvic disproportion,Critical
Elephant,jaundice,ruffled feathers,fever,difficulty in breathing,ulcers,Critical
Elephant,seizures,scabs,loss of appetite,pneumonia,abdominal pain,Critical
Elephant,convulsions,ruffled feathers,vomiting,halitosis,fetopelvic disproportion,Critical
Elephant,anemia,ruffled feathers,sweating,halitosis,ulcers,Critical
Elephant,anemia,swelling,pains,dyspnea,diarrhea,Critical
Elephant,convulsions,swelling,coughing,pneumonia,upset stomach,Critical
Elephant,jaundice,emaciation,fever,halitosis,upset stomach,Critical
Elephant,jaundice,scabs,sweating,halitosis,fetopelvic disproportion,Critical
Elephant,seizures,hairloss,loss of appetite,pneumonia,diarrhea,Critical
Elephant,convulsions,hairloss,sneezing,pneumonia,diarrhea,Critical
Elephant,wasting,emaciation,loss of appetite,dyspnea,abdominal pain,Critical
Elephant,anemia,emaciation,stumbling,respiratory distress,abdominal pain,Critical
Elephant,jaundice,emaciation,weakness,pneumonia,ulcers,Critical
Elephant,seizures,swelling,loss of appetite,halitosis,uteria inertia,Critical
Elephant,jaundice,emaciation,loss of appetite,difficulty in breathing,ulcers,Critical
Elephant,wasting,scabs,pains,respiratory distress,diarrhea,Critical
Elephant,jaundice,ruffled feathers,vomiting,difficulty in breathing,ulcers,Critical
Elephant,seizures,swelling,sweating,nasal discharge,ulcers,Critical
Elephant,wasting,emaciation,skin rashes,pneumonia,upset stomach,Critical
Elephant,convulsions,weightloss,loss of appetite,nasal discharge,diarrhea,Critical
Elephant,seizures,swelling,fever,halitosis,upset stomach,Critical
Elephant,seizures,emaciation,sneezing,dyspnea,fetopelvic disproportion,Critical
Elephant,convulsions,scabs,headache,dyspnea,uteria inertia,Critical
Elephant,jaundice,emaciation,weakness,dyspnea,diarrhea,Critical
Elephant,wasting,emaciation,coughing,dyspnea,fetopelvic disproportion,Critical
Elephant,seizures,swelling,sweating,halitosis,diarrhea,Critical
Elephant,jaundice,weightloss,vomiting,difficulty in breathing,diarrhea,Critical
Elephant,anemia,swelling,coughing,halitosis,upset stomach,Critical
Elephant,wasting,scabs,skin rashes,dyspnea,fetopelvic disproportion,Critical
Elephant,convulsions,scabs,stumbling,dyspnea,ulcers,Critical
Elephant,jaundice,emaciation,muscle aches,respiratory distress,uteria inertia,Critical
Elephant,seizures,emaciation,skin rashes,halitosis,ulcers,Critical
Elephant,anemia,hairloss,vomiting,nasal discharge,ulcers,Critical
Elephant,jaundice,weightloss,skin rashes,nasal discharge,upset stomach,Critical
Elephant,wasting,ruffled feathers,muscle aches,nasal discharge,upset stomach,Critical
Elephant,wasting,swelling,fever,respiratory distress,diarrhea,Critical
Elephant,convulsions,scabs,fever,pneumonia,upset stomach,Critical
Elephant,wasting,scabs,dejection,halitosis,diarrhea,Critical
Elephant,seizures,ruffled feathers,dejection,nasal discharge,ulcers,Critical
Elephant,jaundice,weightloss,skin rashes,difficulty in breathing,diarrhea,Critical
Elephant,anemia,ruffled feathers,weakness,nasal discharge,diarrhea,Critical
Elephant,wasting,emaciation,vomiting,respiratory distress,abdominal pain,Critical
Elephant,jaundice,hairloss,dejection,pneumonia,ulcers,Critical
Elephant,convulsions,scabs,vomiting,nasal discharge,upset stomach,Critical
Elephant,seizures,scabs,vomiting,pneumonia,fetopelvic disproportion,Critical
Elephant,jaundice,hairloss,dejection,halitosis,fetopelvic disproportion,Critical
Elephant,anemia,swelling,headache,respiratory distress,ulcers,Critical
Elephant,anemia,ruffled feathers,coughing,halitosis,abdominal pain,Critical
Hamster,wasting,emaciation,vomiting,nasal discharge,diarrhea,Critical
Hamster,seizures,swelling,headache,nasal discharge,ulcers,Critical
Hamster,seizures,swelling,dejection,difficulty in breathing,uteria inertia,Critical
Hamster,seizures,hairloss,headache,halitosis,uteria inertia,Critical
Hamster,jaundice,weightloss,pains,difficulty in breathing,ulcers,Critical
Hamster,convulsions,weightloss,vomiting,nasal discharge,uteria inertia,Critical
Hamster,seizures,swelling,stumbling,respiratory distress,diarrhea,Critical
Hamster,anemia,emaciation,sneezing,pneumonia,abdominal pain,Critical
Hamster,seizures,emaciation,headache,pneumonia,ulcers,Critical
Hamster,seizures,ruffled feathers,muscle aches,pneumonia,diarrhea,Critical
Hamster,convulsions,swelling,dejection,halitosis,upset stomach,Critical
Fowl,anemia,ruffled feathers,sneezing,nasal discharge,ulcers,Critical
Fowl,wasting,ruffled feathers,stumbling,halitosis,uteria inertia,Critical
Fowl,wasting,hairloss,sneezing,respiratory distress,abdominal pain,Critical
Fowl,wasting,swelling,sneezing,nasal discharge,diarrhea,Critical
Fowl,jaundice,emaciation,muscle aches,difficulty in breathing,abdominal pain,Critical
Fowl,anemia,emaciation,weakness,halitosis,abdominal pain,Critical
Fowl,anemia,ruffled feathers,stumbling,pneumonia,abdominal pain,Critical
Fowl,convulsions,weightloss,weakness,difficulty in breathing,upset stomach,Critical
Fowl,convulsions,ruffled feathers,vomiting,respiratory distress,diarrhea,Critical
Fowl,jaundice,weightloss,vomiting,nasal discharge,ulcers,Critical
Fowl,anemia,ruffled feathers,weakness,dyspnea,abdominal pain,Critical
Fowl,convulsions,emaciation,fever,dyspnea,upset stomach,Critical
Fowl,anemia,ruffled feathers,headache,respiratory distress,ulcers,Critical
Fowl,convulsions,weightloss,muscle aches,nasal discharge,uteria inertia,Critical
Fowl,convulsions,scabs,vomiting,difficulty in breathing,fetopelvic disproportion,Critical
Fowl,wasting,emaciation,stumbling,halitosis,diarrhea,Critical
Fowl,wasting,swelling,loss of appetite,halitosis,diarrhea,Critical
Fowl,anemia,hairloss,loss of appetite,difficulty in breathing,diarrhea,Critical
Fowl,wasting,emaciation,stumbling,dyspnea,fetopelvic disproportion,Critical
Fowl,wasting,weightloss,vomiting,difficulty in breathing,abdominal pain,Critical
Fowl,convulsions,weightloss,muscle aches,nasal discharge,uteria inertia,Critical
Fowl,anemia,scabs,sweating,pneumonia,fetopelvic disproportion,Critical
Fowl,anemia,hairloss,pains,nasal discharge,upset stomach,Critical
Fowl,convulsions,swelling,sneezing,difficulty in breathing,ulcers,Critical
Fowl,convulsions,weightloss,headache,halitosis,abdominal pain,Critical
Fowl,wasting,hairloss,coughing,pneumonia,abdominal pain,Critical
Fowl,anemia,ruffled feathers,dejection,halitosis,uteria inertia,Critical
Fowl,convulsions,ruffled feathers,weakness,halitosis,abdominal pain,Critical
Fowl,convulsions,hairloss,loss of appetite,dyspnea,uteria inertia,Critical
Fowl,convulsions,ruffled feathers,loss of appetite,pneumonia,uteria inertia,Critical
Fowl,wasting,weightloss,pains,nasal discharge,uteria inertia,Critical
Fowl,anemia,emaciation,sweating,pneumonia,abdominal pain,Critical
Fowl,anemia,emaciation,stumbling,pneumonia,diarrhea,Critical
Fowl,jaundice,swelling,sneezing,halitosis,uteria inertia,Critical
Fowl,wasting,emaciation,coughing,nasal discharge,upset stomach,Critical
Fowl,anemia,swelling,sneezing,difficulty in breathing,fetopelvic disproportion,Critical
Fowl,anemia,scabs,skin rashes,halitosis,abdominal pain,Critical
Fowl,jaundice,hairloss,skin rashes,respiratory distress,abdominal pain,Critical
Fowl,convulsions,swelling,sneezing,difficulty in breathing,abdominal pain,Critical
Fowl,jaundice,ruffled feathers,stumbling,respiratory distress,uteria inertia,Critical
Fowl,jaundice,ruffled feathers,vomiting,respiratory distress,ulcers,Critical
Fowl,anemia,weightloss,skin rashes,difficulty in breathing,uteria inertia,Critical
Fowl,jaundice,scabs,fever,dyspnea,diarrhea,Critical
Fowl,seizures,emaciation,stumbling,halitosis,fetopelvic disproportion,Critical
Fowl,wasting,ruffled feathers,vomiting,dyspnea,ulcers,Critical
Fowl,anemia,weightloss,weakness,halitosis,upset stomach,Critical
Fowl,wasting,ruffled feathers,muscle aches,halitosis,fetopelvic disproportion,Critical
Fowl,seizures,hairloss,coughing,halitosis,abdominal pain,Critical
Fowl,seizures,hairloss,headache,respiratory distress,diarrhea,Critical
Fowl,wasting,emaciation,dejection,difficulty in breathing,fetopelvic disproportion,Critical
Fowl,seizures,ruffled feathers,pains,respiratory distress,upset stomach,Critical
Fowl,seizures,weightloss,headache,respiratory distress,fetopelvic disproportion,Critical
Fowl,anemia,hairloss,sneezing,halitosis,diarrhea,Critical
Fowl,jaundice,hairloss,sweating,dyspnea,fetopelvic disproportion,Critical
Fowl,wasting,emaciation,dejection,dyspnea,ulcers,Critical
Fowl,seizures,scabs,skin rashes,nasal discharge,fetopelvic disproportion,Critical
Buffaloes,jaundice,scabs,coughing,respiratory distress,ulcers,Critical
Buffaloes,convulsions,hairloss,coughing,difficulty in breathing,ulcers,Critical
Buffaloes,anemia,weightloss,vomiting,difficulty in breathing,fetopelvic disproportion,Critical
Buffaloes,wasting,scabs,weakness,pneumonia,fetopelvic disproportion,Critical
Buffaloes,anemia,weightloss,stumbling,nasal discharge,uteria inertia,Critical
Buffaloes,jaundice,scabs,vomiting,nasal discharge,upset stomach,Critical
Buffaloes,wasting,ruffled feathers,skin rashes,pneumonia,abdominal pain,Critical
Buffaloes,wasting,swelling,muscle aches,respiratory distress,upset stomach,Critical
Buffaloes,convulsions,hairloss,dejection,halitosis,diarrhea,Critical
Buffaloes,jaundice,swelling,muscle aches,dyspnea,ulcers,Critical
Buffaloes,convulsions,scabs,loss of appetite,respiratory distress,fetopelvic disproportion,Critical
Buffaloes,jaundice,emaciation,loss of appetite,difficulty in breathing,uteria inertia,Critical
Buffaloes,anemia,swelling,vomiting,nasal discharge,uteria inertia,Critical
Buffaloes,anemia,swelling,coughing,halitosis,diarrhea,Normal
Buffaloes,convulsions,weightloss,vomiting,respiratory distress,upset stomach,Normal
Buffaloes,seizures,scabs,vomiting,dyspnea,fetopelvic disproportion,Normal
Buffaloes,wasting,hairloss,vomiting,respiratory distress,diarrhea,Normal
Buffaloes,anemia,hairloss,coughing,pneumonia,upset stomach,Normal
Buffaloes,jaundice,scabs,skin rashes,halitosis,diarrhea,Normal
Buffaloes,seizures,scabs,skin rashes,respiratory distress,abdominal pain,Normal
Buffaloes,wasting,emaciation,loss of appetite,difficulty in breathing,ulcers,Normal
Buffaloes,seizures,hairloss,fever,pneumonia,uteria inertia,Normal
Buffaloes,wasting,hairloss,muscle aches,pneumonia,uteria inertia,Normal
Buffaloes,convulsions,scabs,coughing,respiratory distress,diarrhea,Critical
Buffaloes,wasting,hairloss,pains,difficulty in breathing,uteria inertia,Critical
Buffaloes,seizures,emaciation,sweating,difficulty in breathing,diarrhea,Critical
Buffaloes,anemia,ruffled feathers,headache,respiratory distress,fetopelvic disproportion,Critical
Buffaloes,anemia,scabs,sweating,dyspnea,fetopelvic disproportion,Critical
Buffaloes,anemia,scabs,loss of appetite,dyspnea,ulcers,Critical
Buffaloes,anemia,swelling,coughing,pneumonia,diarrhea,Critical
Buffaloes,seizures,scabs,pains,halitosis,fetopelvic disproportion,Critical
Buffaloes,wasting,emaciation,sweating,difficulty in breathing,diarrhea,Critical
Buffaloes,convulsions,scabs,vomiting,pneumonia,uteria inertia,Critical
Buffaloes,jaundice,hairloss,weakness,nasal discharge,diarrhea,Critical
Buffaloes,seizures,hairloss,dejection,pneumonia,abdominal pain,Critical
Buffaloes,wasting,emaciation,muscle aches,nasal discharge,diarrhea,Critical
Buffaloes,convulsions,weightloss,coughing,halitosis,ulcers,Critical
Buffaloes,seizures,scabs,skin rashes,nasal discharge,diarrhea,Critical
Buffaloes,anemia,weightloss,skin rashes,dyspnea,ulcers,Critical
Buffaloes,seizures,swelling,vomiting,difficulty in breathing,uteria inertia,Critical
Buffaloes,anemia,ruffled feathers,sneezing,dyspnea,diarrhea,Critical
Buffaloes,anemia,hairloss,coughing,difficulty in breathing,ulcers,Critical
Buffaloes,wasting,swelling,vomiting,respiratory distress,ulcers,Critical
Buffaloes,convulsions,scabs,pains,dyspnea,abdominal pain,Critical
Buffaloes,seizures,emaciation,muscle aches,respiratory distress,fetopelvic disproportion,Critical
Buffaloes,jaundice,ruffled feathers,sneezing,halitosis,fetopelvic disproportion,Critical
Buffaloes,jaundice,ruffled feathers,skin rashes,difficulty in breathing,ulcers,Critical
Buffaloes,anemia,swelling,weakness,halitosis,upset stomach,Critical
Buffaloes,jaundice,emaciation,sneezing,halitosis,upset stomach,Critical
Buffaloes,jaundice,weightloss,coughing,dyspnea,abdominal pain,Critical
Buffaloes,convulsions,emaciation,pains,pneumonia,diarrhea,Critical
Buffaloes,anemia,ruffled feathers,coughing,difficulty in breathing,fetopelvic disproportion,Critical
Buffaloes,jaundice,weightloss,dejection,pneumonia,abdominal pain,Critical
Buffaloes,wasting,hairloss,sweating,halitosis,diarrhea,Critical
Buffaloes,anemia,emaciation,sweating,pneumonia,abdominal pain,Critical
Buffaloes,convulsions,swelling,coughing,dyspnea,fetopelvic disproportion,Critical
Buffaloes,anemia,hairloss,fever,halitosis,diarrhea,Critical
Buffaloes,anemia,hairloss,headache,respiratory distress,fetopelvic disproportion,Critical
Buffaloes,jaundice,scabs,stumbling,pneumonia,fetopelvic disproportion,Critical
Buffaloes,seizures,scabs,stumbling,nasal discharge,fetopelvic disproportion,Critical
Buffaloes,anemia,swelling,headache,nasal discharge,uteria inertia,Critical
Buffaloes,wasting,swelling,sweating,nasal discharge,ulcers,Critical
Buffaloes,anemia,ruffled feathers,sweating,pneumonia,ulcers,Critical
Buffaloes,anemia,swelling,skin rashes,halitosis,ulcers,Critical
Buffaloes,anemia,swelling,coughing,respiratory distress,abdominal pain,Critical
Buffaloes,wasting,weightloss,sweating,dyspnea,ulcers,Critical
Buffaloes,seizures,hairloss,loss of appetite,pneumonia,upset stomach,Critical
Buffaloes,jaundice,emaciation,loss of appetite,dyspnea,diarrhea,Critical
Buffaloes,wasting,hairloss,stumbling,difficulty in breathing,uteria inertia,Critical
Buffaloes,seizures,weightloss,fever,halitosis,fetopelvic disproportion,Critical
Buffaloes,seizures,ruffled feathers,headache,dyspnea,upset stomach,Critical
Buffaloes,seizures,swelling,pains,respiratory distress,ulcers,Critical
Buffaloes,convulsions,ruffled feathers,sweating,dyspnea,upset stomach,Critical
Buffaloes,convulsions,emaciation,weakness,halitosis,ulcers,Critical
Buffaloes,wasting,swelling,muscle aches,nasal discharge,diarrhea,Critical
Buffaloes,seizures,swelling,sneezing,dyspnea,diarrhea,Critical
Buffaloes,jaundice,ruffled feathers,coughing,nasal discharge,upset stomach,Critical
Buffaloes,wasting,hairloss,muscle aches,dyspnea,fetopelvic disproportion,Critical
Buffaloes,anemia,emaciation,loss of appetite,halitosis,uteria inertia,Critical
Buffaloes,convulsions,scabs,weakness,pneumonia,upset stomach,Critical
Buffaloes,anemia,scabs,muscle aches,nasal discharge,uteria inertia,Critical
Buffaloes,jaundice,scabs,skin rashes,halitosis,diarrhea,Critical
Buffaloes,wasting,scabs,headache,nasal discharge,uteria inertia,Critical
Buffaloes,jaundice,hairloss,sneezing,dyspnea,abdominal pain,Critical
Buffaloes,convulsions,emaciation,dejection,difficulty in breathing,abdominal pain,Critical
Buffaloes,anemia,hairloss,dejection,halitosis,diarrhea,Critical
Buffaloes,jaundice,weightloss,fever,dyspnea,uteria inertia,Critical
Buffaloes,convulsions,emaciation,skin rashes,halitosis,uteria inertia,Critical
Buffaloes,wasting,hairloss,headache,dyspnea,diarrhea,Critical
Buffaloes,jaundice,ruffled feathers,sneezing,halitosis,ulcers,Critical
Buffaloes,seizures,scabs,coughing,dyspnea,uteria inertia,Critical
Buffaloes,seizures,weightloss,stumbling,difficulty in breathing,upset stomach,Critical
Buffaloes,jaundice,hairloss,vomiting,nasal discharge,uteria inertia,Critical
Buffaloes,convulsions,ruffled feathers,vomiting,halitosis,upset stomach,Critical
Buffaloes,anemia,emaciation,skin rashes,dyspnea,upset stomach,Critical
Buffaloes,seizures,emaciation,vomiting,halitosis,diarrhea,Critical
Buffaloes,wasting,swelling,loss of appetite,dyspnea,upset stomach,Critical
Buffaloes,anemia,hairloss,headache,nasal discharge,uteria inertia,Critical
Buffaloes,seizures,scabs,pains,halitosis,abdominal pain,
Buffaloes,convulsions,scabs,dejection,halitosis,abdominal pain,Critical
Buffaloes,convulsions,swelling,skin rashes,dyspnea,uteria inertia,Critical
Buffaloes,wasting,weightloss,loss of appetite,halitosis,ulcers,Critical
Buffaloes,seizures,weightloss,sweating,difficulty in breathing,abdominal pain,Critical
Buffaloes,convulsions,ruffled feathers,coughing,nasal discharge,ulcers,Critical
Buffaloes,seizures,emaciation,loss of appetite,halitosis,abdominal pain,Critical
Buffaloes,jaundice,scabs,fever,nasal discharge,ulcers,Critical
Buffaloes,anemia,weightloss,sweating,pneumonia,uteria inertia,Critical
Pig,seizures,weightloss,loss of appetite,difficulty in breathing,fetopelvic disproportion,Critical
Pig,wasting,weightloss,dejection,nasal discharge,uteria inertia,Critical
Pig,convulsions,emaciation,skin rashes,halitosis,ulcers,Critical
Pig,jaundice,emaciation,stumbling,dyspnea,upset stomach,Critical
Pig,convulsions,scabs,muscle aches,halitosis,upset stomach,Critical
Pig,convulsions,ruffled feathers,sneezing,respiratory distress,upset stomach,Critical
Pig,anemia,ruffled feathers,muscle aches,nasal discharge,ulcers,Critical
Pig,seizures,hairloss,skin rashes,halitosis,ulcers,Critical
Pig,seizures,hairloss,pains,dyspnea,uteria inertia,Critical
Pig,seizures,emaciation,sneezing,respiratory distress,abdominal pain,Critical
Pig,wasting,scabs,headache,respiratory distress,fetopelvic disproportion,Critical
Pig,seizures,weightloss,muscle aches,respiratory distress,fetopelvic disproportion,Critical
Pig,anemia,emaciation,weakness,nasal discharge,ulcers,Critical
Pig,seizures,weightloss,sneezing,halitosis,upset stomach,Critical
Pig,anemia,ruffled feathers,vomiting,dyspnea,abdominal pain,Critical
Pig,wasting,weightloss,muscle aches,nasal discharge,diarrhea,Critical
Pig,seizures,ruffled feathers,sneezing,dyspnea,upset stomach,Critical
Pig,anemia,scabs,pains,difficulty in breathing,uteria inertia,Critical
Pig,wasting,emaciation,loss of appetite,nasal discharge,diarrhea,Critical
Pig,jaundice,hairloss,pains,pneumonia,uteria inertia,Critical
Pig,seizures,scabs,muscle aches,halitosis,diarrhea,Critical
Pig,wasting,emaciation,pains,pneumonia,fetopelvic disproportion,Critical
Pig,wasting,swelling,vomiting,halitosis,diarrhea,Critical
Pig,seizures,swelling,dejection,difficulty in breathing,fetopelvic disproportion,Critical
Pig,jaundice,swelling,sneezing,nasal discharge,abdominal pain,Critical
Pig,anemia,weightloss,fever,halitosis,fetopelvic disproportion,Critical
Pig,seizures,hairloss,dejection,respiratory distress,uteria inertia,Critical
Pig,anemia,emaciation,vomiting,halitosis,diarrhea,Critical
Pig,convulsions,swelling,pains,respiratory distress,upset stomach,Critical
Pig,seizures,swelling,sweating,respiratory distress,abdominal pain,Critical
Pig,anemia,weightloss,muscle aches,pneumonia,upset stomach,Critical
Pig,convulsions,swelling,vomiting,halitosis,abdominal pain,Critical
Pig,jaundice,swelling,pains,pneumonia,uteria inertia,Critical
Pig,anemia,weightloss,skin rashes,pneumonia,ulcers,Critical
Pig,convulsions,emaciation,dejection,dyspnea,uteria inertia,Critical
Pig,seizures,scabs,sneezing,respiratory distress,diarrhea,Critical
Pig,jaundice,ruffled feathers,stumbling,halitosis,fetopelvic disproportion,Critical
Pig,seizures,scabs,stumbling,halitosis,upset stomach,Critical
Pig,jaundice,scabs,loss of appetite,halitosis,upset stomach,Critical
Pig,jaundice,weightloss,coughing,difficulty in breathing,upset stomach,Critical
Pig,convulsions,hairloss,sweating,halitosis,ulcers,Critical
Pig,jaundice,ruffled feathers,pains,halitosis,diarrhea,Critical
Pig,anemia,ruffled feathers,dejection,dyspnea,uteria inertia,Critical
Pig,anemia,scabs,headache,halitosis,ulcers,Critical
Pig,jaundice,scabs,stumbling,pneumonia,abdominal pain,Critical
Pig,jaundice,ruffled feathers,vomiting,halitosis,ulcers,Critical
Pig,anemia,emaciation,loss of appetite,pneumonia,upset stomach,Critical
Pig,wasting,weightloss,skin rashes,respiratory distress,fetopelvic disproportion,Critical
Pig,anemia,scabs,stumbling,respiratory distress,abdominal pain,Critical
Pig,anemia,emaciation,sweating,difficulty in breathing,abdominal pain,Critical
Pig,convulsions,emaciation,coughing,difficulty in breathing,diarrhea,Critical
Pig,seizures,swelling,coughing,nasal discharge,ulcers,Critical
Pig,wasting,swelling,stumbling,dyspnea,abdominal pain,Critical
Pig,convulsions,emaciation,sneezing,difficulty in breathing,fetopelvic disproportion,Critical
Pig,anemia,emaciation,skin rashes,pneumonia,fetopelvic disproportion,Critical
Pig,convulsions,emaciation,dejection,difficulty in breathing,abdominal pain,Critical
Pig,convulsions,emaciation,fever,pneumonia,fetopelvic disproportion,Critical
Pig,wasting,swelling,sneezing,dyspnea,upset stomach,Critical
